,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-26,ARG,Argentina,AR.BA,Buenos Aires,0,0,120
2,2020-05-26,ARG,Argentina,AR.CT,Catamarca,0,0,0
3,2020-05-26,ARG,Argentina,AR.CC,Chaco,0,0,56
4,2020-05-26,ARG,Argentina,AR.CH,Chubut,0,0,0
5,2020-05-26,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,0,0,301
6,2020-05-26,ARG,Argentina,AR.CB,Cordoba,0,0,38
7,2020-05-26,ARG,Argentina,AR.CN,Corrientes,0,0,5
8,2020-05-26,ARG,Argentina,AR.ER,Entre Rios,0,0,10
9,2020-05-26,ARG,Argentina,AR.FM,Formosa,0,0,0
10,2020-05-26,ARG,Argentina,AR.JY,Jujuy,0,0,3
11,2020-05-26,ARG,Argentina,AR.LP,La Pampa,0,0,0
12,2020-05-26,ARG,Argentina,AR.LR,La Rioja,0,0,2
13,2020-05-26,ARG,Argentina,AR.MZ,Mendoza,0,0,5
14,2020-05-26,ARG,Argentina,AR.MN,Misiones,0,0,0
15,2020-05-26,ARG,Argentina,AR.NQ,Neuquen,0,0,2
16,2020-05-26,ARG,Argentina,AR.RN,Rio Negro,0,0,7
17,2020-05-26,ARG,Argentina,AR.SA,Salta,0,0,0
18,2020-05-26,ARG,Argentina,AR.SJ,San Juan,0,0,0
19,2020-05-26,ARG,Argentina,AR.SL,San Luis,0,0,6
20,2020-05-26,ARG,Argentina,AR.SC,Santa Cruz,0,0,5
21,2020-05-26,ARG,Argentina,AR.SF,Santa Fe,0,0,27
22,2020-05-26,ARG,Argentina,AR.SE,Santiago del Estero,0,0,3
23,2020-05-26,ARG,Argentina,AR.TF,Tierra del Fuego,0,0,36
24,2020-05-26,ARG,Argentina,AR.TM,Tucuman,0,0,3
25,2020-05-26,AUS,Australia,AU.AC,Australian Capital Territory,107,3,104
26,2020-05-26,AUS,Australia,AU.NS,New South Wales,3089,48,2663
27,2020-05-26,AUS,Australia,AU.NT,Northern Territory,29,0,29
28,2020-05-26,AUS,Australia,AU.QL,Queensland,1058,7,1044
29,2020-05-26,AUS,Australia,AU.SA,South Australia,440,4,435
30,2020-05-26,AUS,Australia,AU.TS,Tasmania,228,13,203
31,2020-05-26,AUS,Australia,AU.VI,Victoria,1618,19,1533
32,2020-05-26,AUS,Australia,AU.WA,Western Australia,570,9,549
33,2020-05-26,AUT,Austria,AT.TR,Tirol,3534,108,3404
34,2020-05-26,AUT,Austria,AT.SZ,Salzburg,1220,38,1193
35,2020-05-26,AUT,Austria,AT.ST,Steiermark,1836,147,1613
36,2020-05-26,AUT,Austria,AT.NO,Niederösterreich,2851,100,2621
37,2020-05-26,AUT,Austria,AT.WI,Wien,3113,147,2564
